city,city_development_index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
4,0.7409831410360879,1,0,2,0,6,5,8,2,0,-0.48887190327589264,2
1,-0.42466382739521563,1,1,2,0,6,3,4,6,4,-0.30601280214676796,0
4,-1.6550689607393676,2,1,0,0,6,1,8,2,5,0.2924351651849128,0
2,-0.4975167629221712,1,0,2,2,6,5,4,1,3,-0.9543314334227554,0
0,-0.52180107476449,2,0,1,0,6,3,8,2,0,-0.6883545590531195,2
4,0.7409831410360879,1,0,2,1,3,1,4,1,0,-0.6883545590531195,0
2,-0.5379906159927026,1,0,2,0,6,3,7,6,4,-0.7880958869417329,2
4,0.7409831410360879,1,0,2,0,6,2,4,6,0,-0.3226363567948702,2
4,0.7409831410360879,2,0,2,0,6,4,3,6,4,0.9573773511090025,0
4,0.7409831410360879,1,0,2,0,6,1,6,6,0,0.7080240313874688,0
2,0.684319746737344,1,0,2,0,6,5,2,6,2,-0.7049781137012218,0
4,0.7895517647207255,1,0,2,0,6,4,0,6,4,-0.7880958869417329,0
4,0.7409831410360879,2,0,2,0,6,0,4,6,5,0.6747769220912644,0
4,-1.6550689607393676,2,0,2,0,6,0,6,6,1,-0.9709549880708577,0
4,-1.6550689607393676,2,0,2,0,6,2,3,6,5,-0.7049781137012218,2
1,-0.011830526075794734,0,0,2,0,0,1,8,2,0,1.1069893429419226,2
1,0.11768580374990475,1,0,2,2,6,3,1,6,0,0.043081845463379155,0
4,0.7895517647207255,1,0,2,2,6,3,1,6,1,-0.25614213820246123,0
3,-0.19801025020023905,2,0,2,2,6,2,8,2,0,-0.2893892474986657,0
1,-0.42466382739521563,1,0,2,0,2,0,2,6,0,-0.006788818480927575,0
4,-1.6550689607393676,2,0,2,0,6,1,2,6,0,-0.8712136601822442,0
4,-1.6550689607393676,2,0,1,0,6,3,5,6,0,1.3729662173115587,2
4,0.7409831410360879,1,0,2,0,0,1,8,2,1,0.10957606405578812,0
2,0.4738557107705808,1,0,2,1,3,3,7,6,0,-0.9543314334227554,2
4,-1.6550689607393676,1,0,2,0,6,4,4,1,1,0.043081845463379155,2
4,0.7409831410360879,1,0,2,0,6,5,1,6,2,-0.42237768468348363,0
4,0.7409831410360879,1,0,1,0,6,4,6,6,4,1.2566013347748428,0
4,0.7409831410360879,0,1,0,0,6,1,8,2,0,-0.6883545590531195,0
4,0.7409831410360879,0,0,2,0,6,5,1,6,4,0.2758116105368105,0
4,0.6600354348950251,1,0,2,0,1,3,6,6,2,1.323095553367252,0
4,0.7409831410360879,1,0,2,0,6,2,0,0,1,2.3371323869014886,0
4,0.7895517647207255,1,1,1,1,3,0,3,4,0,1.4394604359039676,0
4,0.7895517647207255,1,0,2,3,6,5,1,6,3,-0.38913057538727913,2
4,0.7409831410360879,2,1,2,0,6,3,8,2,3,-0.25614213820246123,0
3,0.449571398928262,1,1,2,5,3,1,8,2,5,0.6747769220912644,0
4,0.7895517647207255,0,0,0,2,6,4,2,5,1,-0.8545901055341419,0
3,0.7733622234925129,1,0,2,1,3,1,0,6,1,-0.48887190327589264,0
4,-1.6550689607393676,2,0,2,2,6,2,4,0,0,0.7745182499798778,2
1,-1.3150885949469049,2,1,2,0,4,2,4,6,5,0.7080240313874688,0
4,-1.6550689607393676,1,0,1,2,6,2,6,6,2,-0.9709549880708577,2
4,-1.6550689607393676,0,1,0,2,6,1,8,2,5,-0.655107449756915,2
4,-1.6550689607393676,1,0,2,0,6,1,1,6,5,0.35892938377732175,2
4,0.7409831410360879,2,0,2,0,6,4,3,5,3,-0.22289502890625673,2
